Name,Team,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
Jesus Valdez,YUC,32,61,224,246,84,58,18,1,7,39,32,19,4,28,2,1,0,3,3,3,0.375
Leo Heras,YUC,27,66,244,281,80,55,15,7,3,50,38,32,3,50,1,3,1,0,15,7,0.328
Ronnier Mustelier,YUC,32,47,176,194,56,47,7,1,1,25,22,16,2,17,1,1,0,4,3,0,0.318
Diego Madero,YUC,25,54,186,203,59,44,12,2,1,29,21,12,0,25,3,0,2,2,7,3,0.317
Ivan Araujo,YUC,33,48,149,165,47,41,5,0,1,20,14,12,0,28,2,1,1,3,5,0,0.315
Esteban Quiroz,YUC,25,60,196,240,60,34,18,0,8,39,37,39,9,33,2,0,3,4,6,1,0.306
Juan Francisco,YUC,30,9,33,34,10,5,4,0,1,1,7,1,0,9,0,0,0,0,0,0,0.303
Jose Aguilar,YUC,27,55,198,224,58,39,13,0,6,33,21,13,0,37,5,1,6,4,9,2,0.293
Jordany Valdespin,YUC,29,14,48,60,14,11,1,2,0,5,13,12,2,6,0,0,0,1,1,2,0.292
Yuniesky Betancourt,YUC,35,21,83,92,24,19,4,0,1,11,15,4,0,4,0,4,1,2,0,0,0.289
Ricardo Serrano,YUC,31,59,207,224,54,40,10,1,3,22,25,14,0,44,1,1,1,5,1,6,0.261
Sergio Burruel,YUC,25,4,12,15,3,2,1,0,0,2,0,1,0,2,2,0,0,1,0,0,0.25
Hector Paez,YUC,39,39,99,107,23,17,3,0,3,8,10,1,0,17,2,1,3,1,0,0,0.232
Ricky Alvarez,YUC,28,6,23,24,5,4,1,0,0,2,1,0,0,5,1,0,0,0,0,0,0.217
Humberto Sosa,YUC,31,48,167,186,34,22,9,0,3,15,30,12,1,32,0,5,2,6,1,0,0.204
Robi Estrada,YUC,28,27,30,34,6,4,1,0,1,6,4,2,0,8,0,1,1,1,2,0,0.2
Kevin Flores,YUC,32,37,106,118,20,16,4,0,0,15,7,4,0,20,4,0,4,5,2,0,0.189
Francisco Hernandez,YUC,22,29,20,21,2,0,2,0,0,4,2,0,0,9,0,0,1,0,0,0,0.1
Francisco Esparragoza,YUC,34,21,31,40,3,2,1,0,0,4,2,7,0,7,0,1,1,0,0,0,0.097
Ciro Norzagaray,YUC,22,7,7,8,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0
Ramon Ulises Villa,VER,21,6,9,11,3,3,0,0,0,1,1,1,0,3,0,1,0,0,0,0,0.333
Balbino Fuenmayor,VER,27,52,203,225,63,42,8,0,13,31,46,17,1,30,3,2,0,5,0,0,0.31
Juan Martinez,VER,30,66,258,283,80,61,10,3,6,32,33,22,1,46,0,1,2,7,1,2,0.31
Carlos Lopez,VER,27,65,259,281,78,64,13,0,1,38,29,20,1,42,0,2,0,4,0,2,0.301
Luis Mauricio Suarez,VER,38,59,212,248,62,51,8,1,2,27,21,30,5,30,3,0,3,12,3,1,0.292
Gerson Manzanillo,VER,31,62,216,232,63,50,9,4,0,30,13,13,0,29,1,0,2,3,10,4,0.292
Ivan Jimenez,VER,24,51,149,174,43,33,8,1,1,23,12,19,0,36,3,0,3,2,7,2,0.289
Enrique Osorio,VER,32,60,201,227,56,41,15,0,0,33,22,17,1,29,5,3,1,8,3,1,0.279
Deibinson Romero,VER,30,62,224,261,61,48,8,0,5,25,33,27,1,37,5,5,0,6,1,1,0.272
Alan Espinoza,VER,26,57,201,214,53,38,8,1,6,25,28,8,0,40,3,2,0,3,1,0,0.264
Luis Fonseca,VER,32,50,165,185,39,29,5,0,5,21,15,11,1,38,3,2,4,6,2,1,0.236
Eduardo Dehesa,VER,31,23,56,63,13,9,2,0,2,4,12,2,0,20,2,1,2,1,2,0,0.232
Juan Carlos Garcia,VER,24,12,13,15,3,2,0,0,1,3,4,2,0,3,0,0,0,0,0,0,0.231
Alejandro Rivero,VER,28,58,155,175,33,26,6,0,1,13,14,10,0,20,4,2,4,1,5,1,0.213
Barbaro Canizares,VER,37,18,65,76,13,11,2,0,0,7,3,10,0,11,1,0,0,1,0,0,0.2
Cesar Del Angel,VER,26,11,10,11,1,1,0,0,0,1,0,0,0,3,0,0,1,0,0,0,0.1
Jesus Valenzuela,VER,28,6,6,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Gibran Guerra,VER,18,5,7,7,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
Cyle Hankerd,TIJ,32,66,241,277,78,48,15,1,14,53,53,22,1,45,13,1,0,11,0,0,0.324
Alfredo Amezaga,TIJ,39,52,203,229,65,53,10,0,2,27,30,18,0,36,4,1,3,11,4,5,0.32
Corey Brown,TIJ,31,71,255,310,80,42,16,4,18,57,65,51,3,80,0,3,1,1,12,2,0.314
Roberto Lopez,TIJ,31,56,164,188,51,36,5,1,9,33,27,22,2,38,1,0,1,1,3,2,0.311
Chris Valencia,TIJ,30,52,76,79,22,20,2,0,0,10,8,2,1,12,1,0,0,1,5,1,0.289
Jose Guadalupe Chavez,TIJ,32,56,194,250,55,42,10,0,3,44,20,50,0,35,4,1,1,5,4,2,0.284
Juan Apodaca,TIJ,30,53,182,205,51,41,6,1,3,29,27,21,0,35,1,1,0,4,0,0,0.28
Gabriel Gutierrez,TIJ,33,19,47,53,13,9,4,0,0,6,6,5,0,6,0,0,1,2,0,0,0.277
Oscar Robles,TIJ,41,30,91,108,25,23,2,0,0,14,11,15,2,4,0,1,1,10,1,3,0.275
Jorge Cantu,TIJ,35,63,213,250,57,34,15,1,7,32,36,29,1,57,4,3,1,4,1,0,0.268
Isaac Rodriguez Salazar,TIJ,26,44,171,195,45,37,4,1,3,26,18,19,0,19,3,1,1,6,4,2,0.263
Alex Liddi,TIJ,28,70,262,299,67,42,8,1,16,51,54,31,0,70,2,3,1,9,7,1,0.256
Dustin Martin,TIJ,33,70,247,304,61,37,15,0,9,46,43,51,7,70,2,3,1,14,17,6,0.247
Juan Kirk,TIJ,21,14,26,31,5,5,0,0,0,2,2,2,0,5,2,0,1,1,0,0,0.192
Joe Munoz,TIJ,23,9,16,17,3,2,0,0,1,2,4,1,0,7,0,0,0,0,0,0,0.188
Omar Quintanilla,TIJ,35,2,1,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Ruben Ybarra,TIJ,23,2,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Edson Garcia,TIJ,24,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Jordan Aboites,TIJ,22,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Pedro Arenas,TIJ,19,7,10,13,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0
Jordany Valdespin,TAB,29,52,196,225,70,53,12,1,4,42,23,21,1,26,5,1,2,5,14,5,0.357
Sandy Madera,TAB,36,69,258,293,87,63,18,0,6,33,35,31,2,22,2,2,0,5,0,0,0.337
Alex Romero,TAB,33,69,276,307,92,84,5,1,2,40,25,20,3,18,3,2,6,5,3,3,0.333
Kristian Delgado,TAB,23,3,6,6,2,2,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0.333
Yordanys Linares,TAB,28,33,138,149,45,35,6,3,1,20,12,5,1,19,4,0,2,2,8,7,0.326
Alfredo Lopez,TAB,27,29,77,85,25,23,2,0,0,11,2,5,0,7,0,0,3,1,3,0,0.325
Abel Martinez,TAB,40,27,96,107,30,26,2,0,2,14,11,9,0,17,1,1,0,5,0,1,0.313
Eduardo Santos,TAB,24,17,39,40,12,12,0,0,0,3,2,0,0,7,0,0,1,4,0,0,0.308
Sergio Burruel,TAB,25,53,162,183,49,40,8,0,1,12,27,16,0,20,0,1,4,5,0,3,0.302
Sergio Garcia,TAB,26,19,53,61,16,8,3,0,5,9,15,4,0,8,2,1,1,2,3,0,0.302
Marco Guzman,TAB,22,33,96,104,28,19,7,0,2,12,10,3,0,24,0,1,4,2,1,0,0.292
Carlos Orrantia,TAB,35,24,79,84,23,16,6,0,1,9,9,4,0,15,0,0,1,5,2,2,0.291
Carlos Penuelas,TAB,29,33,82,90,22,20,2,0,0,5,9,5,0,10,2,1,0,3,0,2,0.268
Rogelio Noris,TAB,28,47,151,161,40,30,4,1,5,16,20,6,0,29,2,1,1,2,2,2,0.265
Rolando Acosta,TAB,34,33,123,134,32,23,7,0,2,8,10,5,0,19,4,1,1,5,0,1,0.26
Pedro Diaz,TAB,38,28,75,79,19,16,2,0,1,1,13,2,0,15,1,1,0,2,0,1,0.253
Dave Sappelt,TAB,30,14,56,59,14,10,2,1,1,6,3,3,0,9,0,0,0,2,1,1,0.25
Isaias Asencio,TAB,29,4,12,12,3,2,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0.25
Jose Manuel Orozco,TAB,26,24,84,95,20,16,2,1,1,8,6,10,2,18,1,0,0,0,1,1,0.238
Carlos Triunfel,TAB,27,12,52,58,12,12,0,0,0,4,2,4,0,10,2,0,0,1,0,1,0.231
Adrian Gutierrez,TAB,26,26,61,65,14,6,6,0,2,6,11,3,0,9,1,0,0,1,0,0,0.23
Ivan Bellazetin,TAB,30,38,84,97,19,16,2,1,0,14,6,7,0,14,1,1,4,5,2,2,0.226
Cesar Rodriguez,TAB,22,27,40,44,8,5,3,0,0,5,4,4,0,8,0,0,0,1,1,0,0.2
Carlos Morales,TAB,33,37,86,88,14,11,2,0,1,4,6,1,0,20,1,0,0,7,0,0,0.163
Jonathan Herrera,TAB,32,8,22,30,2,2,0,0,0,1,2,3,0,8,0,0,5,0,0,0,0.091
Adrian Nicoli,TAB,20,9,13,14,1,1,0,0,0,0,0,0,0,1,1,0,0,1,2,1,0.077
Gerardo Garcia,TAB,21,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Justin Greene,SAL,31,65,253,289,90,69,11,1,9,58,25,29,0,51,4,1,2,6,34,14,0.356
Max Ramirez,SAL,32,52,182,215,63,44,11,0,8,27,27,29,0,30,3,1,0,7,1,1,0.346
Luis Borges,SAL,36,63,224,243,76,61,14,0,1,29,26,13,2,16,0,0,6,11,1,1,0.339
Jibran Castro,SAL,21,11,15,18,5,3,2,0,0,2,6,2,0,0,0,0,1,0,1,0,0.333
Fabricio Macias,SAL,19,45,96,101,30,25,2,3,0,19,9,5,0,19,0,0,0,1,10,2,0.313
Christian Zazueta,SAL,32,68,270,285,79,58,16,1,4,44,30,7,1,43,4,2,2,4,20,7,0.293
Jose Ruiz,SAL,32,66,260,283,76,50,12,2,12,35,49,20,3,57,2,1,0,10,5,1,0.292
Jose Manuel Orozco,SAL,26,30,85,94,24,18,3,0,3,16,14,8,1,24,0,0,1,1,3,0,0.282
Rainel Rosario,SAL,28,69,263,298,73,49,8,1,15,49,60,30,0,47,2,3,0,8,7,1,0.278
Heber Gomez,SAL,39,38,139,155,38,32,6,0,0,22,14,12,0,22,1,0,3,4,1,0,0.273
Carlos Alvarez,SAL,29,51,136,162,37,26,10,1,0,15,16,19,1,26,4,1,2,1,4,2,0.272
Jose Bernardo Lopez,SAL,27,27,45,50,11,9,2,0,0,6,6,0,0,11,1,1,3,3,0,1,0.244
Rufino Candelario,SAL,31,26,50,51,12,11,1,0,0,6,3,1,0,8,0,0,0,0,0,0,0.24
Oscar Lemus,SAL,30,22,48,51,11,5,6,0,0,5,7,3,0,11,0,0,0,3,0,0,0.229
Jonathan Aceves,SAL,39,56,176,199,40,26,7,0,7,21,26,18,1,38,2,1,2,5,1,1,0.227
Steve Carrillo,SAL,30,14,40,45,8,8,0,0,0,3,2,2,0,9,1,1,1,1,2,1,0.2
Francisco Ferreiro,SAL,23,28,44,46,8,5,3,0,0,2,1,1,0,10,0,0,1,3,1,0,0.182
Roman Pena,SAL,30,18,40,45,5,2,2,0,1,4,4,4,0,17,0,1,0,1,0,0,0.125
Alvaro Gonzalez,SAL,23,5,9,9,1,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0.111
Jon Del Campo,SAL,29,1,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Brian Hernandez,QUI,28,65,241,271,76,58,13,1,4,34,43,23,1,37,3,2,2,14,1,1,0.315
Gilberto Galaviz,QUI,25,38,89,96,28,25,3,0,0,8,8,5,0,4,1,0,1,6,0,1,0.315
Rene Reyes,QUI,39,26,86,99,27,21,2,0,4,12,22,10,0,19,1,0,2,2,0,1,0.314
Carlos Alberto Gastelum,QUI,37,63,243,274,76,63,11,1,1,33,24,16,0,24,7,2,6,8,3,3,0.313
Ramon R Ramirez,QUI,26,47,117,129,36,22,8,0,6,11,20,6,0,33,1,0,5,1,3,2,0.308
Barbaro Canizares,QUI,37,16,54,72,16,13,2,0,1,9,10,15,1,8,1,2,0,2,0,0,0.296
Angel Erro,QUI,22,16,17,19,5,3,2,0,0,3,3,0,0,3,1,0,1,0,1,0,0.294
C.J. Retherford,QUI,31,5,14,18,4,3,1,0,0,3,0,4,1,3,0,0,0,0,0,0,0.286
Ricardo Vazquez,QUI,32,24,40,42,11,8,3,0,0,3,3,1,0,14,0,1,0,2,0,0,0.275
Pedro Ciriaco,QUI,31,38,146,153,39,27,10,0,2,9,16,4,1,25,1,2,0,6,3,2,0.267
Freddy Guzman,QUI,36,44,164,198,43,36,4,3,0,33,7,31,0,30,0,2,1,3,19,5,0.262
Greg Golson,QUI,31,27,100,114,26,22,4,0,0,11,9,12,1,26,2,0,0,2,5,3,0.26
Christian Marrero,QUI,30,47,161,193,41,26,7,1,7,20,23,23,2,30,8,1,0,9,0,1,0.255
Sergio Contreras,QUI,37,53,179,196,45,39,5,0,1,16,16,12,0,28,2,2,1,4,2,2,0.251
Jesus Valenzuela,QUI,28,24,41,45,10,7,1,1,1,4,3,3,0,9,1,0,0,1,0,0,0.244
Brandon Villarreal,QUI,22,51,87,99,19,15,3,0,1,17,5,7,0,16,1,3,1,0,1,2,0.218
Francisco Cordoba,QUI,33,22,62,66,12,10,1,0,1,4,4,1,0,16,0,0,3,0,0,0,0.194
Jose Heberto Felix,QUI,29,20,42,44,8,8,0,0,0,3,1,1,0,2,0,0,1,2,0,0,0.19
Eugenio Velez,QUI,35,16,62,68,11,7,2,0,2,8,11,4,0,5,0,2,0,3,2,1,0.177
Mario Vega,QUI,25,31,47,52,8,6,2,0,0,5,2,2,0,11,1,1,1,0,1,0,0.17
Iker Franco,QUI,36,17,51,56,8,7,0,0,1,2,3,4,0,12,0,1,0,2,0,0,0.157
Jerome Pena,QUI,28,11,32,42,5,3,1,0,1,5,3,9,0,14,0,1,0,0,0,0,0.156
Fernando Alejos,QUI,38,13,24,26,3,1,2,0,0,2,0,2,0,9,0,0,0,0,0,0,0.125
Andres Vizcarra,QUI,20,9,8,8,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0.125
Alfredo Amezaga,QUI,39,2,5,7,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0
Eduardo Mendivil,QUI,25,5,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Hector Garanzuay,PUE,36,6,6,6,3,2,1,0,0,0,3,0,0,1,0,0,0,0,0,0,0.5
Endy Chavez,PUE,39,60,262,288,94,78,11,0,5,38,40,22,1,19,0,0,4,3,1,5,0.359
Jon Del Campo,PUE,29,24,79,89,27,23,4,0,0,15,10,7,1,10,1,2,0,1,3,1,0.342
Jesus Arredondo,PUE,26,69,260,296,85,56,20,1,8,47,52,30,4,44,2,3,1,8,5,3,0.327
Cesar Tapia,PUE,34,65,239,278,78,55,15,0,8,42,40,33,4,27,3,3,0,13,5,0,0.326
Alberto Carreon,PUE,29,71,280,315,86,67,13,2,4,55,34,19,0,36,5,4,7,16,11,7,0.307
Issmael Salas,PUE,34,68,277,309,84,59,16,0,9,36,35,26,1,25,5,0,1,9,2,1,0.303
Daniel Sanchez,PUE,24,26,73,77,22,16,3,0,3,11,11,3,0,12,0,1,0,3,0,0,0.301
Cole Gillespie,PUE,33,41,162,186,48,35,11,0,2,32,26,19,2,34,1,3,1,7,4,2,0.296
Daniel Cornejo,PUE,26,17,44,47,13,12,1,0,0,5,1,1,0,9,1,1,0,1,2,0,0.295
Dan Johnson,PUE,37,30,107,133,31,19,6,1,5,16,19,21,2,23,4,1,0,0,0,1,0.29
Carlos Penuelas,PUE,29,16,45,47,13,12,0,1,0,3,6,1,0,4,0,0,1,0,0,0,0.289
Ricky Rodriguez,PUE,24,66,235,265,67,46,13,1,7,38,46,20,2,72,7,3,0,5,2,3,0.285
J.P. Ramirez,PUE,27,43,117,123,33,27,6,0,0,15,12,3,0,22,2,1,0,6,3,0,0.282
Nate Freiman,PUE,30,28,100,126,28,16,5,1,6,20,18,20,2,18,3,3,0,4,0,0,0.28
Valentin Gamez,PUE,34,29,58,71,16,14,2,0,0,10,6,9,2,8,1,0,3,3,0,0,0.276
Jonathan Salazar,PUE,23,19,30,34,8,7,0,1,0,4,1,3,0,3,0,0,1,0,1,0,0.267
Sergio Perez,PUE,27,36,113,124,30,23,6,1,0,21,10,8,0,22,2,0,1,4,3,1,0.265
Sammy Ayala,PUE,22,9,17,18,3,3,0,0,0,0,2,1,0,7,0,0,0,1,0,0,0.176
Jason Pridie,PUE,33,2,6,8,1,1,0,0,0,0,3,2,0,1,0,0,0,0,0,0,0.167
Francisco Salas,PUE,24,11,22,29,3,3,0,0,0,1,1,3,0,3,3,0,1,1,0,0,0.136
Miguel Guzman,PUE,21,18,15,17,1,1,0,0,0,3,0,0,0,1,0,0,2,0,1,1,0.067
Jaime Brena,OAX,36,48,170,204,57,46,10,0,1,22,11,20,0,19,7,0,7,6,2,1,0.335
Carlos Garzon,OAX,25,5,9,10,3,2,1,0,0,1,2,0,0,0,0,0,1,1,0,0,0.333
Alan Sanchez,OAX,28,64,259,282,86,67,12,2,5,35,33,19,5,43,1,0,3,6,2,4,0.332
Erick Rodriguez,OAX,37,62,186,200,60,54,4,1,1,16,20,11,0,14,0,0,3,4,1,2,0.323
Carlos Lopez,OAX,20,23,47,50,15,11,3,0,1,6,7,2,0,13,0,1,0,0,0,0,0.319
Samar Leyva,OAX,22,66,232,250,69,53,13,1,2,31,25,9,0,34,6,0,2,6,6,3,0.297
Raymundo Torres,OAX,23,46,148,174,42,31,9,0,2,22,14,23,0,37,0,0,3,6,0,2,0.284
Alejandro Gonzalez,OAX,31,63,230,261,65,43,12,5,5,31,38,20,2,61,7,3,1,7,3,1,0.283
Victor Santos,OAX,22,35,44,48,12,7,3,0,2,11,2,1,0,12,1,0,2,3,1,1,0.273
Jose Martinez,OAX,27,62,224,248,61,31,21,3,6,24,28,18,0,56,2,4,0,4,1,1,0.272
Yancarlo Angulo,OAX,30,47,151,175,41,27,10,2,2,21,14,18,0,26,2,1,3,5,0,2,0.272
Mario Valenzuela,OAX,40,65,232,274,59,44,9,0,6,29,29,37,2,55,2,3,0,13,0,2,0.254
Miguel Rodriguez,OAX,22,44,131,143,30,23,6,0,1,13,9,8,0,20,1,1,2,5,0,1,0.229
Adan Munoz,OAX,39,27,101,108,23,18,2,0,3,9,16,4,0,18,3,0,0,3,0,0,0.228
Ismael Martinez,OAX,24,21,65,76,14,6,4,2,2,7,11,9,4,21,2,0,0,3,0,0,0.215
Luis Medina,OAX,22,38,62,73,13,8,3,1,1,11,6,5,0,14,0,0,6,0,3,0,0.21
Juan Rodriguez,OAX,20,20,39,46,6,+,2,0,0,2,1,7,0,7,0,0,0,1,0,0,0.154
Jose Cobos,OAX,36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manuel Cruz,OAX,21,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Roman Sesteaga,OAX,20,7,6,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0
Oscar Sanay,MVA,25,39,76,87,28,26,1,0,1,18,8,7,0,9,0,0,4,0,2,2,0.368
Julio Borbon,MVA,31,52,202,231,69,56,9,2,2,40,20,19,3,21,3,3,4,4,8,2,0.342
