Name,Team,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
Amadeo Zazueta,MVA,31,64,256,272,87,60,18,1,8,45,43,12,0,28,1,3,0,7,5,3,0.34
Antonio Lamas,MVA,27,61,209,233,71,55,10,2,4,46,33,18,2,21,3,2,1,7,8,5,0.34
Tim Torres,MVA,33,23,71,92,23,19,1,0,3,15,14,18,1,19,0,3,0,1,2,1,0.324
Manny Rodriguez,MVA,34,66,252,289,81,52,20,0,9,43,65,33,1,35,0,4,0,3,12,2,0.321
Jose Heberto Felix,MVA,29,35,117,126,36,29,6,0,1,19,28,6,0,7,0,1,2,3,0,1,0.308
Willy Taveras,MVA,35,69,286,325,87,62,9,6,10,56,46,18,2,57,17,2,2,2,13,2,0.304
Matt Clark,MVA,30,69,264,303,78,47,16,0,15,45,59,37,6,64,1,1,0,6,0,1,0.295
Nate Freiman,MVA,30,14,52,63,15,11,2,0,2,8,9,10,1,12,1,0,0,1,0,0,0.288
Jose Amador,MVA,37,59,206,241,59,44,10,0,5,32,40,29,1,33,4,2,0,8,1,0,0.286
Rodolfo Amador,MVA,24,54,91,94,25,20,3,0,2,11,12,0,0,6,2,1,0,3,0,2,0.275
Francisco Cordoba,MVA,33,29,86,102,21,18,1,0,2,11,9,9,0,16,2,2,3,1,0,0,0.244
Ruben Rivera,MVA,43,48,122,137,29,18,7,0,4,22,20,13,0,30,1,1,0,1,5,2,0.238
Cole Gillespie,MVA,33,10,36,39,8,5,3,0,0,6,3,3,0,7,0,0,0,0,1,0,0.222
Daric Barton,MVA,31,26,69,96,15,9,3,0,3,18,9,25,0,14,0,1,1,0,0,0,0.217
Sergio Perez,MVA,27,8,14,15,3,2,1,0,0,2,0,1,0,3,0,0,0,1,0,0,0.214
Mario Ivan Santana,MVA,41,17,26,30,5,3,2,0,0,2,3,1,0,5,1,0,2,2,0,1,0.192
Josh Vargas,MVA,24,34,32,34,6,4,2,0,0,10,5,1,0,14,0,1,0,1,2,1,0.188
Jon Del Campo,MVA,29,4,12,14,2,2,0,0,0,2,0,2,1,1,0,0,0,0,1,0,0.167
Carlos Ramirez,MVA,29,11,15,16,2,2,0,0,0,0,1,1,0,6,0,0,0,0,0,0,0.133
Nyjer Morgan,MVA,36,3,9,13,1,1,0,0,0,4,0,2,0,1,2,0,0,0,0,0,0.111
Kyle Blanks,MVA,30,3,13,13,1,0,0,0,1,1,2,0,0,5,0,0,0,0,0,0,0.077
Chris Roberson,MTY,37,65,274,313,105,65,24,3,13,61,46,26,7,42,4,7,2,5,12,7,0.383
Asael Sanchez,MTY,23,14,37,41,14,12,2,0,0,6,8,3,0,7,1,0,0,0,0,0,0.378
Zoilo Almonte,MTY,28,70,286,323,106,66,28,1,11,53,48,29,5,59,5,3,0,5,0,0,0.371
Said Gutierrez,MTY,37,38,124,139,44,35,4,0,5,15,28,7,0,15,5,1,2,7,0,0,0.355
Victor Mendoza,MTY,26,24,62,66,22,12,4,0,6,9,21,3,0,11,0,0,1,2,0,0,0.355
Ramon Rios,MTY,29,62,254,276,87,71,11,1,4,45,24,15,0,22,1,3,3,11,0,0,0.343
Leo German,MTY,24,65,207,231,69,57,11,1,0,35,17,12,1,43,3,2,7,8,14,6,0.333
Agustin Murillo,MTY,35,31,114,127,36,28,4,0,4,18,14,12,1,11,0,0,1,3,1,2,0.316
Moises Gutierrez,MTY,22,43,104,119,32,23,4,1,4,17,22,8,0,23,2,4,1,4,0,0,0.308
Alex Valdez,MTY,32,67,241,287,69,46,10,1,12,44,44,39,7,44,1,6,0,1,1,1,0.286
Felix Perez,MTY,32,28,102,117,29,20,2,1,6,19,23,9,2,22,4,2,0,3,0,1,0.284
Luis Juarez,MTY,27,67,276,297,77,47,17,1,12,47,62,15,0,26,3,3,0,9,2,2,0.279
Luis Flores,MTY,30,20,52,53,14,8,3,0,3,7,4,0,0,8,0,0,1,1,0,0,0.269
Walter Ibarra,MTY,29,53,201,215,54,43,10,1,0,22,15,11,1,41,0,1,2,6,2,1,0.269
Roberto Valenzuela,MTY,22,34,74,85,18,15,2,1,0,13,7,4,0,6,1,1,5,1,0,0,0.243
Arturo Rodriguez,MTY,25,26,92,102,22,16,3,1,2,8,10,6,0,16,0,1,3,4,0,0,0.239
Gilberto Carrera,MTY,22,8,5,5,1,1,0,0,0,4,0,0,0,2,0,0,0,1,0,0,0.2
Heber Gomez,MTY,39,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jesus Anguamea,MEX,23,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Carlos Figueroa,MEX,25,68,279,308,99,86,9,3,1,65,21,22,2,45,1,1,5,5,23,5,0.355
Jose Augusto Figueroa,MEX,24,40,117,123,41,30,7,3,1,18,14,4,0,26,1,0,1,4,1,2,0.35
Hans Wilson,MEX,31,14,35,36,12,12,0,0,0,2,5,0,0,4,0,0,1,2,1,0,0.343
Ivan Terrazas,MEX,33,68,260,280,89,63,23,0,3,33,49,16,3,32,1,0,3,10,0,1,0.342
Raymundo Torres,MEX,23,7,9,12,3,2,0,0,1,3,1,3,0,2,0,0,0,0,0,0,0.333
Juan Carlos Gamboa,MEX,26,29,85,101,28,20,6,0,2,14,12,14,1,15,1,1,0,2,3,1,0.329
Ramon Urias,MEX,23,70,257,309,84,51,21,1,11,60,57,26,0,57,20,3,3,10,8,5,0.327
Alejandro Ortiz,MEX,27,39,119,132,38,25,11,0,2,18,17,10,2,22,2,1,0,3,0,3,0.319
Julian Ornelas,MEX,20,14,38,42,12,9,3,0,0,3,6,4,0,12,0,0,0,0,0,0,0.316
Jesus Fabela,MEX,22,48,149,179,46,32,8,1,5,30,21,20,0,14,4,1,5,5,3,2,0.309
Jose Carlos Urena,MEX,22,54,162,185,50,33,10,0,7,24,22,18,3,48,3,2,0,5,0,0,0.309
Emmanuel Avila,MEX,28,62,243,260,72,47,15,2,8,30,38,12,3,17,3,1,1,8,0,0,0.296
Eduardo Revilla,MEX,24,40,117,128,33,26,6,0,1,12,12,6,0,30,2,0,2,8,0,0,0.282
Jorge Vazquez,MEX,35,34,114,138,32,21,3,0,8,18,24,22,3,29,1,1,0,9,0,0,0.281
Refugio Cervantes,MEX,38,29,94,105,25,15,6,0,4,7,21,8,0,18,1,1,1,6,1,0,0.266
Luis Alfonso Garcia,MEX,38,16,51,62,13,9,1,0,3,11,9,7,0,10,2,2,0,3,0,0,0.255
Ricardo Valenzuela,MEX,26,49,134,152,34,31,2,0,1,16,11,15,0,17,0,1,2,5,0,4,0.254
Roman Sesteaga,MEX,20,5,12,14,3,3,0,0,0,2,0,2,0,5,0,0,0,0,0,0,0.25
Sergio Gastelum,MEX,38,37,97,113,24,19,5,0,0,7,10,12,1,13,1,1,2,5,0,0,0.247
Rolando Acosta,MEX,34,5,13,17,3,3,0,0,0,3,0,2,0,3,2,0,0,0,0,0,0.231
Omar Meza,MEX,20,23,48,56,11,9,2,0,0,8,8,6,0,6,1,0,1,5,1,2,0.229
Gabriel Gomez Topete,MEX,22,13,15,17,3,3,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0.2
Yousamot Cota,MEX,23,33,37,44,7,5,2,0,0,6,1,5,0,6,1,1,0,2,0,0,0.189
Orlando Pina,MEX,19,17,35,41,6,5,1,0,0,3,4,3,0,12,1,2,0,2,0,0,0.171
Jesus Lopez,MEX,29,2,6,8,1,0,1,0,0,1,0,1,0,3,1,0,0,0,0,0,0.167
Eduardo Arredondo,LEO,32,33,124,141,41,37,2,1,1,14,8,11,0,9,0,1,2,2,0,3,0.331
Marco Chicuate,LEO,24,21,52,56,17,13,2,0,2,5,6,1,0,8,0,1,2,3,0,0,0.327
Carlos Valencia,LEO,37,20,72,75,23,17,2,0,4,13,15,2,0,14,1,0,0,4,0,1,0.319
Niko Vasquez,LEO,28,34,122,138,37,24,10,0,3,20,17,11,1,37,4,1,0,2,6,2,0.303
Miguel Torrero,LEO,33,62,213,231,64,57,4,1,2,24,26,11,1,17,5,1,1,6,4,1,0.3
J.C. Linares,LEO,32,19,61,75,18,12,4,0,2,18,4,14,1,11,0,0,0,3,1,0,0.295
Donald Lutz,LEO,28,10,38,45,11,10,1,0,0,8,5,5,3,13,1,1,0,0,2,1,0.289
Juan Miranda,LEO,34,19,60,78,17,12,3,0,2,11,18,13,0,13,4,1,0,2,0,0,0.283
Hector Hernandez,LEO,34,50,170,192,48,40,8,0,0,19,21,16,1,18,1,2,3,6,1,1,0.282
Gilberto Mejia,LEO,34,6,22,30,6,6,0,0,0,5,2,5,0,3,1,0,2,0,0,2,0.273
Israel Nunez,LEO,31,23,67,77,18,14,2,0,2,7,8,5,0,6,0,0,4,0,0,0,0.269
Jose Luna,LEO,24,38,75,75,20,15,4,0,1,7,9,0,0,11,0,0,0,1,0,0,0.267
Alfredo Marte,LEO,28,44,156,177,41,30,4,1,6,26,25,15,1,33,5,1,0,2,5,1,0.263
Leandro Castro,LEO,28,69,269,292,69,41,15,0,13,35,43,18,2,35,2,3,0,12,6,7,0.257
Rico Noel,LEO,28,10,48,51,12,8,2,0,2,5,5,3,1,15,0,0,0,1,5,2,0.25
Ryohei Shimabukuro,LEO,27,3,12,15,3,2,1,0,0,2,5,2,0,2,1,0,0,0,0,0,0.25
Robert Vasquez,LEO,30,4,8,9,2,1,0,0,1,1,2,1,0,1,0,0,0,1,0,0,0.25
Omar Renteria,LEO,27,29,41,50,10,8,1,0,1,4,3,4,0,11,1,0,4,2,1,0,0.244
Sergio Garcia,LEO,26,33,117,125,28,19,5,2,2,14,7,1,0,24,1,2,4,1,2,0,0.239
Leslie Anderson,LEO,35,21,76,83,18,13,5,0,0,8,4,5,0,11,1,1,0,2,0,0,0.237
Brandon Macias,LEO,28,61,182,206,43,28,7,0,8,22,33,17,1,48,3,2,2,1,2,2,0.236
Daniel Hinojosa,LEO,32,9,19,23,4,4,0,0,0,3,0,3,0,5,0,0,1,1,0,0,0.211
Junior Lake,LEO,27,6,24,27,5,1,3,1,0,5,3,3,0,4,0,0,0,0,0,0,0.208
Reynaldo Rodriguez,LEO,30,17,63,71,13,12,0,0,1,8,2,8,0,15,0,0,0,0,5,2,0.206
Adan Munoz,LEO,39,21,64,71,12,9,1,0,2,8,7,7,1,19,0,0,0,1,0,0,0.188
Olmo Rosario,LEO,36,13,46,51,8,6,2,0,0,3,2,5,0,7,0,0,0,4,1,1,0.174
Miguel Olivo,LEO,38,20,69,72,11,8,1,1,1,5,6,2,0,24,0,1,0,5,1,0,0.159
Joshua Banuelos,LEO,25,7,13,16,2,1,0,1,0,1,1,1,0,3,2,0,0,0,0,0,0.154
Marco Jaime,LEO,20,34,34,37,4,2,0,2,0,9,4,3,0,9,0,0,0,1,0,0,0.118
Hector Hernandez,LAG,34,6,7,8,4,3,0,0,1,4,4,1,0,0,0,0,0,1,0,0,0.571
Roman Pena,LAG,30,11,14,17,5,4,1,0,0,3,7,3,0,7,0,0,0,0,0,0,0.357
Francisco Lugo,LAG,25,56,208,226,72,59,7,1,5,39,34,9,0,23,4,0,5,6,5,2,0.346
Robert Vasquez,LAG,30,23,79,97,27,21,3,2,1,17,12,14,1,23,2,1,1,0,3,2,0.342
Alberto Callaspo,LAG,34,21,81,93,27,22,5,0,0,14,13,9,1,11,1,2,0,2,1,2,0.333
Ricky Alvarez,LAG,28,66,267,290,88,50,23,2,13,49,75,13,2,35,6,4,0,12,5,2,0.33
Carlos Mendivil,LAG,23,21,55,59,18,10,6,0,2,9,12,4,0,6,0,0,0,4,1,1,0.327
Welington Dotel,LAG,31,69,273,297,89,62,14,4,9,56,41,19,2,58,2,1,2,6,14,13,0.326
Anderson Hernandez,LAG,34,72,291,318,91,61,20,6,4,57,49,22,2,44,0,2,2,8,6,1,0.313
Jaime Pedroza,LAG,30,45,147,183,45,32,10,0,3,22,21,30,3,39,2,2,2,1,4,3,0.306
Diory Hernandez,LAG,33,17,66,73,20,11,4,1,4,17,8,5,0,13,1,1,0,2,1,0,0.303
Alejandro Flores,LAG,21,62,198,221,57,34,16,2,5,33,33,17,0,69,2,0,4,2,1,3,0.288
Ethan Chapman,LAG,27,65,216,243,62,48,8,1,5,40,20,19,3,58,2,4,2,1,15,6,0.287
Carlos Eduardo Gonzalez,LAG,32,20,33,42,9,4,3,0,2,6,7,7,0,6,0,1,1,0,0,1,0.273
Brad Snyder,LAG,35,65,228,262,61,32,17,0,12,35,41,31,1,66,1,2,0,4,0,1,0.268
Jonathan Jones,LAG,27,41,145,168,35,21,7,1,6,38,25,17,0,31,4,1,1,4,6,3,0.241
Kristian Delgado,LAG,23,36,105,115,25,17,7,1,0,14,10,5,0,8,1,2,2,1,2,0,0.238
Israel Nunez,LAG,31,7,15,16,3,1,2,0,0,2,2,1,0,5,0,0,0,0,0,0,0.2
Jerome Pena,LAG,28,26,67,78,12,5,3,0,4,13,14,10,0,37,0,0,1,0,1,1,0.179
Alan Lopez,LAG,21,10,6,6,1,1,0,0,0,1,0,0,0,3,0,0,0,0,0,1,0.167
Pedro Chavarria,LAG,23,11,9,11,1,1,0,0,0,1,2,2,0,4,0,0,0,0,0,0,0.111
Abraham Lopez,LAG,21,11,10,11,1,1,0,0,0,2,1,1,0,4,0,0,0,0,0,0,0.1
Armando Lomeli,LAG,24,2,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Francisco Esparragoza,LAG,34,5,7,9,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0
Nestor Linares,LAG,22,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yadir Drake,DUR,27,71,260,300,100,63,21,2,14,46,61,28,3,39,7,5,0,8,6,4,0.385
Daniel Mayora,DUR,31,70,269,302,98,75,15,0,8,46,38,28,1,40,3,2,0,10,8,0,0.364
Humberto Castro,DUR,26,51,141,156,49,44,3,0,2,23,15,10,0,16,4,0,1,7,2,2,0.348
Jesus Rivera,DUR,39,44,141,158,47,36,11,0,0,12,20,14,1,15,1,0,2,6,3,0,0.333
Jairo Perez,DUR,29,61,234,252,76,53,14,0,9,37,47,11,0,29,5,1,1,13,6,3,0.325
Henry Alejandro Rodriguez,DUR,27,71,291,313,84,63,16,1,4,41,30,14,2,44,4,2,2,6,3,0,0.289
Santiago Gonzalez,DUR,33,52,152,163,43,29,12,1,1,20,17,8,0,26,3,0,0,5,1,1,0.283
Daniel Hinojosa,DUR,32,23,82,96,23,20,3,0,0,18,7,13,0,22,0,1,0,2,1,1,0.28
Javier Salazar,DUR,20,69,246,274,64,51,10,3,0,36,18,23,1,39,0,1,4,9,9,2,0.26
Jesus Alberto Vega,DUR,35,37,104,121,27,16,7,0,4,14,21,10,0,23,4,1,2,2,0,0,0.26
Daniel Nunez,DUR,35,68,216,257,56,51,3,2,0,29,14,31,0,32,7,1,2,5,3,7,0.259
Adan Velazquez,DUR,27,29,74,83,17,15,1,0,1,4,8,6,0,9,0,1,2,4,1,0,0.23
Enrique Trujillo,DUR,30,30,50,57,11,11,0,0,0,5,3,6,0,12,0,1,0,4,4,1,0.22
Angel Chavarin,DUR,26,30,69,74,15,14,1,0,0,2,5,4,0,25,1,0,0,1,0,2,0.217
Jesus Loya,DUR,25,40,75,79,14,11,1,1,1,11,6,3,0,25,0,0,1,1,1,1,0.187
Isidro Pina,DUR,28,49,107,122,19,17,2,0,0,9,8,10,0,27,1,1,3,9,0,0,0.178
Gaudencio Aguirre,DUR,44,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ivan Gamero,DUR,34,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cesar Del Angel,DUR,26,4,6,7,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
Abraham Gonzalez,DUR,21,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Domingo Castro,CAM,37,22,55,61,19,18,1,0,0,7,10,3,0,6,1,0,2,1,1,0,0.345
Jasson Atondo,CAM,21,17,30,33,10,9,1,0,0,3,2,3,0,3,0,0,0,1,0,1,0.333
Jesus Navarro,CAM,29,17,25,27,8,5,2,0,1,2,3,2,0,9,0,0,0,0,0,0,0.32
Frank Diaz,CAM,33,69,270,298,85,54,19,1,11,40,46,25,1,41,1,2,0,6,2,0,0.315
Paul Leon,CAM,28,60,213,238,67,46,13,0,8,35,34,18,0,42,3,1,3,3,1,0,0.315
Yosmany Guerra,CAM,34,69,283,317,86,60,13,11,2,42,26,29,2,38,3,1,1,9,3,5,0.304
Oscar Williams,CAM,25,54,134,153,38,32,4,1,1,22,18,10,0,34,4,2,2,4,2,0,0.284
C.J. Retherford,CAM,31,59,220,250,62,44,10,0,8,33,26,21,1,49,5,4,0,9,2,0,0.282
Roberto Valencia,CAM,28,31,50,60,14,9,4,0,1,5,3,5,1,6,2,0,3,1,0,0,0.28
Engel Beltre,CAM,27,69,276,307,76,60,8,2,6,39,28,18,1,41,7,0,6,5,10,4,0.275
Fernando Flores,CAM,25,66,238,255,64,44,15,1,4,24,39,9,2,40,0,6,2,4,0,2,0.269
Maxwell Leon,CAM,33,64,243,273,65,45,15,1,4,39,35,19,2,56,6,3,2,3,5,1,0.267
Francisco Rivera,CAM,28,39,78,92,20,16,4,0,0,8,5,14,1,16,0,0,0,7,0,0,0.256
Eliseo Aldazaba,CAM,26,60,206,235,49,26,17,1,5,32,28,20,1,48,5,3,1,2,7,4,0.238
Jorge Sesma,CAM,20,24,18,20,4,4,0,0,0,5,3,1,0,6,1,0,0,1,0,1,0.222
Fernando Inzunza,CAM,18,10,17,18,2,2,0,0,0,2,0,0,0,3,1,0,0,1,0,0,0.118
Albert Canedo,CAM,21,17,16,17,1,1,0,0,0,1,0,1,0,5,0,0,0,2,0,0,0.063
Jorge Gonzalez,AGS,19,6,9,9,5,4,0,0,1,5,4,0,0,2,0,0,0,0,0,0,0.556
Michael Wing,AGS,28,11,32,37,14,10,2,0,2,5,10,2,0,6,1,2,0,2,0,1,0.438
Jesus Castillo,AGS,34,72,275,324,101,67,19,0,15,55,61,47,9,47,1,1,0,7,8,4,0.367
Dave Sappelt,AGS,30,42,176,203,57,36,15,1,5,37,21,25,1,25,1,1,0,2,2,2,0.324
Julian Castro,AGS,28,37,136,149,44,33,7,1,3,23,17,6,0,20,0,0,7,3,3,2,0.324
Saul Soto,AGS,38,71,253,312,80,60,12,0,8,38,42,55,3,41,0,4,0,13,0,0,0.316
Cristhian Presichi,AGS,36,66,245,282,74,62,11,1,0,42,30,29,1,30,1,4,3,7,10,5,0.302
Diory Hernandez,AGS,33,23,90,98,27,19,6,1,1,15,12,7,1,15,0,1,0,2,0,0,0.3
Eliezer Ortiz,AGS,29,60,214,231,63,49,11,2,1,22,29,9,0,47,4,1,3,7,5,3,0.294
Carlos Rodriguez,AGS,35,66,252,269,74,44,17,2,11,33,46,15,1,72,1,1,0,11,0,0,0.294
Quincy Latimore,AGS,28,17,67,75,19,15,0,0,4,12,11,7,0,16,0,1,0,1,0,2,0.284
Jose Vargas,AGS,29,48,158,173,44,26,7,1,10,27,28,11,0,49,1,1,2,0,4,6,0.278
Edson Garcia,AGS,24,49,180,205,47,33,7,3,4,26,16,11,0,30,5,0,9,2,3,2,0.261
Richy Pedroza,AGS,25,63,180,221,40,31,8,0,1,28,17,30,0,36,4,1,5,3,6,3,0.222
Aldo Flores,AGS,21,16,43,45,9,8,0,0,1,5,2,2,0,14,0,0,0,0,0,0,0.209
Leonardo Rodriguez,AGS,36,19,24,28,5,5,0,0,0,2,0,1,0,3,2,0,1,3,0,0,0.208
J.C. Linares,AGS,32,22,73,83,15,9,2,0,4,13,10,8,2,7,1,0,1,5,0,1,0.205
Amilcar Gomez,AGS,22,33,51,61,10,6,1,1,2,9,7,8,0,12,0,0,2,2,0,0,0.196
Arel Campoy,AGS,21,29,48,62,9,4,4,0,1,9,7,6,0,12,4,1,3,0,0,0,0.188
Genaro Andrade,AGS,32,6,16,18,2,1,1,0,0,1,2,1,0,5,1,0,0,0,0,0,0.125
Miguel Torres,AGS,29,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
