"","Batter_Name","AB","R","H","D","Tr","HR","RBI","BB","SO","HBP","SB","SF","SH","PA","AVG","OBP","SLG","OPS"
"1","ADAN MUNOZ",37,6,10,0,0,3,10,4,7,0,0,0,0,41,0.27,0.341,0.595,0.936
"2","ADRIAN GUTIERREZ",6,0,1,0,0,0,0,0,0,1,0,0,0,6,0.167,0.286,0.167,0.453
"3","ADRIAN NICOLI",3,3,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0
"4","AGUSTIN MURILLO",56,11,19,4,0,2,7,6,7,1,3,0,0,62,0.339,0.413,0.625,1.038
"5","AGUSTIN SEPTIMO",8,0,2,0,0,0,0,0,2,0,0,0,0,8,0.25,0.25,0.25,0.5
"6","ALAN ESPINOZA",12,1,4,1,0,1,7,0,0,0,0,0,0,12,0.333,0.333,0.833,1.166
"7","ALAN LOPEZ",13,5,2,0,0,0,3,2,5,0,1,0,0,15,0.154,0.267,0.154,0.421
"8","ALAN SANCHEZ",26,1,11,0,0,0,7,2,4,0,0,0,0,28,0.423,0.464,0.423,0.887
"9","ALBERTO CALLASPO",48,6,16,2,0,0,5,7,5,0,1,1,0,56,0.333,0.411,0.417,0.828
"10","ALBERTO CARREON",60,11,19,2,0,0,4,2,11,1,2,0,1,63,0.317,0.349,0.383,0.732
"11","ALBERTO QUERALES",43,6,12,1,0,0,5,1,6,0,0,2,2,48,0.279,0.283,0.326,0.609
"12","ALEJANDRO GONZALEZ",60,10,13,1,0,0,6,12,21,2,1,1,0,73,0.217,0.36,0.25,0.61
"13","ALEJANDRO ORTIZ",18,2,2,0,0,2,8,0,5,0,0,0,0,18,0.111,0.111,0.556,0.667
"14","ALEJANDRO RIVERO",37,6,7,1,0,0,6,4,7,1,2,1,0,42,0.189,0.279,0.243,0.522
"15","ALEX VALDEZ",41,7,14,2,0,3,5,4,5,0,0,0,0,45,0.341,0.4,0.732,1.132
"16","ALEXEI RAMIREZ",61,10,15,1,0,0,6,4,8,1,0,1,0,66,0.246,0.299,0.279,0.578
"17","ALONZO HARRIS",44,8,12,4,0,0,1,2,7,0,2,0,0,46,0.273,0.304,0.455,0.759
"18","ALVARO GONZALEZ",12,2,4,0,0,2,2,3,3,0,0,0,0,15,0.333,0.467,1,1.467
"19","AMADEO ZAZUETA",68,10,20,2,0,0,6,3,9,0,1,0,0,71,0.294,0.324,0.353,0.677
"20","AMILCAR GOMEZ",13,2,5,1,0,0,3,0,2,0,0,0,0,13,0.385,0.385,0.538,0.923
"21","ANDERSON HERNANDEZ",59,11,18,4,0,2,10,8,5,0,3,0,0,67,0.305,0.388,0.576,0.964
"22","ANDRES AYON",27,2,6,1,0,0,1,0,9,0,0,0,1,28,0.222,0.222,0.296,0.518
"23","ANGEL CHAVARIN",6,1,2,0,0,1,1,0,2,0,0,0,1,7,0.333,0.333,1,1.333
"24","ANGEL ERRO",4,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0
"25","ANTONIO LAMAS",22,4,3,0,0,0,1,4,2,0,0,0,0,26,0.136,0.269,0.136,0.405
"26","AREL CAMPOY",6,0,2,0,0,0,0,1,2,0,0,0,1,8,0.333,0.429,0.333,0.762
"27","ARISMENDY ALCANTARA",8,4,4,0,2,0,2,0,2,0,0,0,0,8,0.5,0.5,1.25,1.75
"28","ART CHARLES",29,6,7,2,0,0,7,5,11,0,0,1,0,35,0.241,0.343,0.379,0.722
"29","ARTURO RODRIGUEZ",43,2,9,2,0,0,3,5,5,1,0,0,0,48,0.209,0.306,0.302,0.608
"30","ASAEL SANCHEZ",47,10,16,3,2,0,2,4,12,3,0,0,1,52,0.34,0.426,0.596,1.022
"31","BALBINO FUENMAYOR",24,4,10,1,0,3,5,0,1,0,0,1,0,25,0.417,0.4,1,1.4
"32","BARBARO CANIZARES",17,0,5,1,0,0,1,1,2,0,0,0,0,18,0.294,0.333,0.412,0.745
"33","BERNARDO HERAS",13,2,5,0,0,0,1,0,2,0,0,0,0,13,0.385,0.385,0.385,0.77
"34","BRANDON MACIAS",35,5,9,1,0,1,2,5,6,3,0,0,0,40,0.257,0.395,0.429,0.824
"35","BRAXTON MARTINEZ",43,6,10,3,0,3,9,8,11,1,0,0,0,51,0.233,0.365,0.651,1.016
"36","BRAYAN QUINTERO",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"37","BRIAN HERNANDEZ",63,6,22,7,0,0,14,6,2,1,0,1,0,70,0.349,0.408,0.571,0.979
"38","C.J. RETHERFORD",54,5,12,2,0,1,2,2,13,0,0,0,0,56,0.222,0.25,0.37,0.62
"39","CARLOS ALBERTO GASTELUM",64,10,12,3,0,0,6,5,10,1,0,1,0,70,0.188,0.254,0.281,0.535
"40","CARLOS ALVAREZ",9,1,1,0,0,0,1,1,3,0,0,0,0,10,0.111,0.2,0.111,0.311
"41","CARLOS COLMENARES",49,4,10,3,0,0,2,5,11,0,0,0,1,55,0.204,0.278,0.327,0.605
"42","CARLOS CORPORAN",29,6,11,1,0,1,9,7,6,1,0,0,0,36,0.379,0.514,0.586,1.1
"43","CARLOS EDUARDO GONZALEZ",3,1,0,0,0,0,0,1,1,0,0,0,0,4,0,0.25,0,0.25
"44","CARLOS FIGUEROA",61,14,15,4,0,1,7,12,6,0,6,0,0,73,0.246,0.37,0.443,0.813
"45","CARLOS GARZON",13,8,5,0,0,1,3,2,3,0,0,0,1,16,0.385,0.467,0.692,1.159
"46","CARLOS LOPEZ",50,9,14,2,1,2,11,9,9,1,0,3,1,63,0.28,0.381,0.58,0.961
"47","CARLOS MENDIVIL",11,1,3,0,0,0,1,0,2,0,0,0,0,11,0.273,0.273,0.273,0.546
"48","CARLOS MORALES",24,1,4,0,0,0,0,2,8,1,1,0,0,26,0.167,0.259,0.167,0.426
"49","CARLOS MUNOZ",49,6,11,1,0,0,5,5,11,1,0,0,0,54,0.224,0.309,0.265,0.574
"50","CARLOS PAULINO",59,11,19,5,1,2,21,4,12,4,1,1,0,64,0.322,0.397,0.678,1.075
"51","CARLOS PENUELAS",29,3,4,1,0,0,2,2,4,0,0,1,3,35,0.138,0.188,0.207,0.395
"52","CARLOS RIVERO",58,6,14,5,0,1,8,6,15,0,0,0,0,64,0.241,0.312,0.483,0.795
"53","CARLOS RODRIGUEZ",47,5,10,3,0,0,3,3,13,0,0,0,2,52,0.213,0.26,0.34,0.6
"54","CEDRIC HUNTER",64,12,18,3,0,3,12,3,15,1,1,1,0,68,0.281,0.319,0.562,0.881
"55","CESAR TAPIA",47,5,11,3,0,0,5,4,10,0,1,1,3,55,0.234,0.288,0.362,0.65
"56","CHRIS ROBERSON",54,10,12,4,0,2,5,3,7,1,1,1,0,58,0.222,0.271,0.519,0.79
"57","CHRIS VALENCIA",36,3,10,1,0,0,5,2,8,1,2,0,2,40,0.278,0.333,0.333,0.666
"58","CHRISTIAN ZAZUETA",31,5,9,3,0,0,6,1,7,0,2,1,0,33,0.29,0.303,0.484,0.787
"59","CIRO NORZAGARAY",4,1,0,0,0,0,0,2,0,0,0,0,0,6,0,0.333,0,0.333
"60","COREY BROWN",50,8,13,0,1,3,8,12,12,0,2,0,0,62,0.26,0.403,0.56,0.963
"61","CRISTHIAN PRESICHI",49,10,17,2,0,2,11,7,7,0,2,2,1,59,0.347,0.414,0.592,1.006
"62","CYLE HANKERD",56,8,13,4,0,3,9,9,9,2,0,0,0,65,0.232,0.358,0.589,0.947
"63","DAN JOHNSON",48,9,10,1,0,3,9,10,8,2,0,0,0,58,0.208,0.367,0.5,0.867
"64","DANIEL CORNEJO",19,2,5,2,1,0,2,2,2,0,0,0,0,21,0.263,0.333,0.632,0.965
"65","DANIEL HINOJOSA",25,1,3,0,0,0,0,0,10,0,0,0,2,27,0.12,0.12,0.12,0.24
"66","DANIEL JIMENEZ",14,4,7,1,0,0,4,0,0,0,0,1,0,15,0.5,0.467,0.643,1.11
"67","DANIEL MAYORA",56,8,18,3,0,3,7,6,8,1,0,0,1,63,0.321,0.397,0.643,1.04
"68","DANIEL MERCADO",8,0,0,0,0,0,0,0,2,0,0,0,0,8,0,0,0,0
"69","DANIEL NUNEZ",58,10,19,8,1,0,7,7,12,2,2,1,2,68,0.328,0.412,0.655,1.067
"70","DANIEL SANCHEZ",38,2,6,1,0,0,3,3,3,0,0,2,0,43,0.158,0.209,0.211,0.42
"71","DARIC BARTON",33,16,12,3,1,5,10,14,5,5,0,0,0,47,0.364,0.596,1.242,1.838
"72","DAVID VIDAL",60,14,18,4,1,2,11,6,19,4,0,0,0,66,0.3,0.4,0.617,1.017
"73","DELMON YOUNG",60,7,16,2,0,2,8,2,12,3,0,1,0,63,0.267,0.318,0.467,0.785
"74","DIEGO MADERO",54,5,13,4,0,0,2,4,12,1,0,1,1,60,0.241,0.3,0.389,0.689
"75","DOMINGO CASTRO",4,1,1,0,0,0,1,0,0,0,0,0,1,5,0.25,0.25,0.25,0.5
"76","DOMONIC BROWN",49,10,17,2,0,6,16,10,11,1,0,0,0,59,0.347,0.467,0.918,1.385
"77","DUSTIN GEIGER",58,11,28,9,0,3,18,5,12,3,0,2,0,65,0.483,0.529,1,1.529
"78","DUSTIN MARTIN",53,10,12,1,0,2,13,12,15,1,2,1,0,66,0.226,0.373,0.415,0.788
"79","EDSON GARCIA",63,9,16,1,0,2,11,6,7,1,2,1,1,71,0.254,0.324,0.413,0.737
"80","EDUARDO ARREDONDO",39,8,11,1,0,0,2,6,6,1,0,0,1,46,0.282,0.391,0.333,0.724
"81","ELIEZER ORTIZ",21,5,9,0,0,2,7,0,4,0,2,0,0,21,0.429,0.429,0.81,1.239
"82","ELISEO ALDAZABA",22,5,9,1,0,0,2,5,5,0,0,0,0,27,0.409,0.519,0.5,1.019
"83","ELMER REYES",58,9,19,3,1,1,11,2,10,4,0,1,0,61,0.328,0.385,0.552,0.937
"84","EMMANUEL AVILA",58,10,23,3,0,1,9,3,9,1,0,0,1,62,0.397,0.435,0.569,1.004
"85","ENRIQUE OSORIO",55,2,17,2,0,0,5,5,6,0,2,0,1,61,0.309,0.367,0.382,0.749
"86","ERIC AGUILERA",54,8,19,4,0,2,5,8,15,0,0,1,0,63,0.352,0.429,0.648,1.077
"87","ERIC MEZA",22,2,8,3,0,0,3,2,7,1,0,1,0,25,0.364,0.423,0.636,1.059
"88","ERICK RODRIGUEZ",5,0,1,0,0,0,0,0,0,0,0,0,0,5,0.2,0.2,0.2,0.4
"89","EVERTH CABRERA",55,4,12,4,1,0,6,5,16,0,5,0,4,64,0.218,0.283,0.418,0.701
"90","FELIX PEREZ",56,9,12,2,0,1,6,6,13,1,0,1,0,63,0.214,0.297,0.357,0.654
"91","FELIX PIE",46,6,12,5,0,2,5,8,5,0,1,1,0,55,0.261,0.364,0.652,1.016
"92","FERNANDO FLORES",38,2,4,1,0,1,3,2,8,0,0,0,0,40,0.105,0.15,0.263,0.413
"93","FRANCISCO CORDOBA",53,8,13,4,0,1,5,3,14,2,0,1,0,57,0.245,0.305,0.472,0.777
"94","FRANCISCO LUGO",12,1,3,0,0,0,2,0,1,0,1,1,0,13,0.25,0.231,0.25,0.481
"95","FRANCISCO RIVERA",27,3,7,0,1,1,4,2,2,1,0,0,0,29,0.259,0.333,0.519,0.852
"96","FRANK DIAZ",47,7,19,2,0,4,13,8,5,1,0,1,0,56,0.404,0.491,0.83,1.321
"97","GABRIEL GUTIERREZ",14,3,3,0,0,0,1,3,2,0,0,0,0,17,0.214,0.353,0.214,0.567
"98","GENARO ANDRADE",9,0,3,0,0,0,0,1,1,0,0,0,0,10,0.333,0.4,0.333,0.733
"99","GILBERTO GALAVIZ",40,7,8,4,0,0,5,3,1,1,1,0,0,43,0.2,0.273,0.4,0.673
"100","HANS WILSON",13,0,2,0,0,0,0,2,0,0,0,0,0,15,0.154,0.267,0.154,0.421
"101","HECTOR GOMEZ",71,22,24,11,0,2,11,2,19,0,1,0,0,73,0.338,0.356,0.761,1.117
"102","HECTOR HERNANDEZ",5,0,1,0,0,0,0,0,1,0,0,0,0,5,0.2,0.2,0.2,0.4
"103","HENRY ALEJANDRO RODRIGUEZ",58,6,21,3,0,1,10,6,9,0,0,0,0,64,0.362,0.422,0.534,0.956
"104","HENRY URRUTIA",55,13,20,4,0,2,10,9,11,0,3,0,0,64,0.364,0.453,0.655,1.108
"105","HUMBERTO CASTRO",47,7,13,0,0,0,6,8,6,3,2,1,1,57,0.277,0.407,0.277,0.684
"106","HUMBERTO SOSA",27,5,10,2,0,0,5,5,6,0,0,0,0,32,0.37,0.469,0.519,0.988
"107","ISAAC RODRIGUEZ SALAZAR",63,15,27,6,0,1,7,5,4,0,8,0,0,68,0.429,0.471,0.683,1.154
"108","ISIDRO PINA",42,5,18,1,0,0,9,3,2,0,0,1,2,48,0.429,0.457,0.476,0.933
"109","ISSMAEL SALAS",42,4,12,3,0,1,7,2,5,0,1,3,2,49,0.286,0.298,0.524,0.822
"110","IVAN ARAUJO",12,2,2,0,0,1,4,1,1,1,1,1,0,14,0.167,0.267,0.5,0.767
"111","IVAN BELLAZETIN",16,2,3,0,0,0,2,2,2,0,1,0,0,18,0.188,0.278,0.188,0.466
"112","IVAN JIMENEZ",39,2,7,0,0,0,0,3,18,1,1,0,4,46,0.179,0.256,0.179,0.435
"113","IVAN TERRAZAS",29,5,8,2,0,0,4,6,5,1,1,1,1,37,0.276,0.405,0.414,0.819
"114","J.P. RAMIREZ",19,2,4,0,0,1,3,1,5,0,0,0,0,20,0.211,0.25,0.421,0.671
"115","JAIME BRENA",5,3,2,0,0,0,1,2,0,0,1,0,0,7,0.4,0.571,0.4,0.971
"116","JAIME SANTOS",6,6,0,0,0,0,0,4,2,0,0,0,0,10,0,0.4,0,0.4
"117","JAMAR WALTON",61,8,16,4,1,1,8,4,9,1,1,0,0,65,0.262,0.318,0.508,0.826
"118","JASON BOURGEOIS",50,6,18,3,0,1,10,7,4,0,3,0,0,57,0.36,0.439,0.56,0.999
"119","JAVIER MIRELES",27,6,11,1,0,2,5,1,5,0,3,2,1,31,0.407,0.4,0.778,1.178
