no,table,id,,
1,woba_fipc,1H8xuzPAjuNJxlWaBAk1fmo-lGH9Jfm0Zeyrcv0R5OPY,,"woba_fipc = ""1H8xuzPAjuNJxlWaBAk1fmo-lGH9Jfm0Zeyrcv0R5OPY"""
2,park_factors,1VkbsNGuHrhZHYoMdxiWVjeUyc3kSMLafYpg0nLHHdcY,,"park_factors = ""1VkbsNGuHrhZHYoMdxiWVjeUyc3kSMLafYpg0nLHHdcY"""
3,fielding_std,1YdS-ADBbfZS1Z9YOuWUbGIj2mOZ4tmS1rQBmunhY414,,"fielding_std = ""1YdS-ADBbfZS1Z9YOuWUbGIj2mOZ4tmS1rQBmunhY414"""
4,fielding_adv,1toeJeYcCvlauqXNPlG3WLv13uPH6ZQVBg2qV93raC-k,,"fielding_adv = ""1toeJeYcCvlauqXNPlG3WLv13uPH6ZQVBg2qV93raC-k"""
5,hitting_std,1sCuR-4Y7GretGuaSG-JmGq8cubUZZsJ5hcPAGyZ-81s,,"hitting_std = ""1sCuR-4Y7GretGuaSG-JmGq8cubUZZsJ5hcPAGyZ-81s"""
6,hitting_adv,1C8ecJLey4ypA2T40yjEPksvo3t8Zi7bIWRKjOcNMWUo,,"hitting_adv = ""1C8ecJLey4ypA2T40yjEPksvo3t8Zi7bIWRKjOcNMWUo"""
7,pitching_std,1S4L3xYiaXKe7OrcC8Jw9tbNycIjYx_XsYVRR5QwGyQk,,"pitching_std = ""1S4L3xYiaXKe7OrcC8Jw9tbNycIjYx_XsYVRR5QwGyQk"""
8,pitching_adv,1_kkVk2vDwS10QhLEhewyf1_GnnatEo3mklsTv4VTHFA,,"pitching_adv = ""1_kkVk2vDwS10QhLEhewyf1_GnnatEo3mklsTv4VTHFA"""
9,team_fielding_std,1O7qE1BRoiMMKCU77FbpBO_ZVKjOjXdoHCDCMLuK7KM8,,"team_fielding_std = ""1O7qE1BRoiMMKCU77FbpBO_ZVKjOjXdoHCDCMLuK7KM8"""
10,team_fielding_adv,1cf9H4oF88Nf_Br69TPTMm6A2OnAtr4KLnD8RF0CW-RA,,"team_fielding_adv = ""1cf9H4oF88Nf_Br69TPTMm6A2OnAtr4KLnD8RF0CW-RA"""
11,team_hitting_std,1OZAMvh_0OyVoA3RRnDmVr8ljhpUzFaj2NgUcbFbXZV0,,"team_hitting_std = ""1OZAMvh_0OyVoA3RRnDmVr8ljhpUzFaj2NgUcbFbXZV0"""
12,team_hitting_adv,1p1J3aslmnA5fjMHiCuQu16Fn6nF4b7-tOUmGntLlOMI,,"team_hitting_adv = ""1p1J3aslmnA5fjMHiCuQu16Fn6nF4b7-tOUmGntLlOMI"""
13,team_pitching_std,1sqaj3q3QoPOMO0GPUf1ydr96_x7VornWwF3U9lEn05k,,"team_pitching_std = ""1sqaj3q3QoPOMO0GPUf1ydr96_x7VornWwF3U9lEn05k"""
14,team_pitching_adv,1BtBwDEU2NyiNgn-isEc5ObM-Nu6VrAotldexFauVofs,,"team_pitching_adv = ""1BtBwDEU2NyiNgn-isEc5ObM-Nu6VrAotldexFauVofs"""
15,lmb_att_24,1uer8QQuM-x8VyxCDJBlCtqXofPHE-Dlkzzk64xzLFBQ,,"lmb_att_24 = ""1uer8QQuM-x8VyxCDJBlCtqXofPHE-Dlkzzk64xzLFBQ"""
16,lmb_pace_24,1sJ_KjQgmKDUtLRh1MW0yHyQWTzllarKHXGzSGrLNVBk,,"lmb_pace_24 = ""1sJ_KjQgmKDUtLRh1MW0yHyQWTzllarKHXGzSGrLNVBk"""
17,lmb_pace_venue_24,1_zF8o6iYKrcpE0Cwgky4dpm7gXMt4nU1At7Z4j4qFJI,,"lmb_pace_venue_24 = ""1_zF8o6iYKrcpE0Cwgky4dpm7gXMt4nU1At7Z4j4qFJI"""